y;matricula;genero;promedio;gms;Créditos por tomar; Avance %;2017-II_mat1;2017-II_notamat1;2017-II_mat2;2017-II_notamat2;2017-II_mat3;2017-II_notamat3;2017-II_mat4;2017-II_notamat4;2017-II_mat5;2017-II_notamat5;2017-II_mat6;2017-II_notamat6;2017-II_mat7;2017-II_notamat7;2018-I_cmat1;2018-I_notacmat1;2018-I_cmat2;2018-I_notacmat2;2018-I_cmat3;2018-I_notacmat3;2018-I_cmat4;2018-I_notacmat4;2018-I_cmat5;2018-I_notacmat5;2018-I_cmat6;2018-I_notacmat6;2018-I_cmat7;2018-I_notacmat7
1;201712692;M;7,57;0,882;117;26,42;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;6,40;CÁLCULO DE UNA VARIABLE;7,54;COMPUTACIÓN Y SOCIEDAD;7,05;COMUNICACIÓN I;7,20;QUÍMICA GENERAL;7,16;;;;;ÁLGEBRA LINEAL;7,56;CÁLCULO DE VARIAS VARIABLES;8,26;COMUNICACIÓN II;8,25;DEPORTE: AJEDREZ;9,70;FUNDAMENTOS DE PROGRAMACIÓN;8,12;;;;
2;201709870;M;7,37;0,314;144;12,73;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,90;BUCEO Y ACTIVIDADES NÁUTICAS;9,30;CÁLCULO DE UNA VARIABLE;4,86;COMUNICACIÓN I;6,50;QUÍMICA GENERAL;7,18;;;;;ÁLGEBRA LINEAL;4,44;BIOLOGÍA;7,06;CÁLCULO DE UNA VARIABLE;6,66;COMUNICACIÓN II;8,05;FUNDAMENTOS DE PROGRAMACIÓN;6,30;;;;
3;201714771;M;7,35;1,420;122;23,27;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,30;CÁLCULO DE UNA VARIABLE;6,50;COMUNICACIÓN I;8,60;QUÍMICA GENERAL;6,11;;;;;;;ÁLGEBRA LINEAL;6,46;CÁLCULO DE VARIAS VARIABLES;7,08;COMUNICACIÓN II;7,65;FÍSICA I;7,40;FUNDAMENTOS DE PROGRAMACIÓN;7,00;;;;
4;201604717;M;7,7;0,654;127;21,12;;;;;;;;;;;;;;;BIOLOGÍA;8,42;FUNDAMENTOS DE PROGRAMACIÓN;1,50;INGLÉS II;7,86;;;;;;;;
5;201702941;M;8,25;0,716;106;33,75;ÁLGEBRA LINEAL;7,12;BIOLOGÍA;9,23;CÁLCULO DE VARIAS VARIABLES;8,44;COMUNICACIÓN II;8,10;FÍSICA I;7,20;QUÍMICA ORGÁNICA I;7,62;;;BOTÁNICA GENERAL;9,52;ESTADÍSTICA;8,24;FUNDAMENTOS DE PROGRAMACIÓN;9,78;INGLÉS V;8,76;INTRODUCCIÓN A LAS CIENCIAS BIOLÓGICAS;7,60;ZOOLOGÍA DE INVERTEBRADOS;7,92;;
6;201514357;M;7,91;1,176;90;37,5;ÁLGEBRA LINEAL;5,56;CÁLCULO DE VARIAS VARIABLES;7,16;DANZA FOLKLÓRICA;8,90;FUNDAMENTOS DE PROGRAMACIÓN;4,88;INTRODUCCIÓN A LA ECONOMÍA;8,45;;;;;ÁLGEBRA LINEAL;6,06;FINANZAS I;7,02;FUNDAMENTOS DE PROGRAMACIÓN;8,58;INGLÉS III;9,00;MACROECONOMÍA I;8,70;;;;
7;201711454;M;8,06;1,727;117;27,33;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,55;CÁLCULO DE UNA VARIABLE;6,78;COMUNICACIÓN I;8,40;DEPORTE: PING PONG;9,75;QUÍMICA GENERAL;7,43;;;;;ÁLGEBRA LINEAL;7,04 ;BIOLOGÍA;9,07 ;CÁLCULO DE VARIAS VARIABLES;7,06;COMUNICACIÓN II;8,3;FÍSICA I;6,86;;;;
8;201709987;F;7,4;0,890;119;26,99;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,35;CÁLCULO DE UNA VARIABLE;6,12;COMUNICACIÓN I;7,30;FOTOGRAFÍA;8,75;QUÍMICA GENERAL;8,03;;;;;ÁLGEBRA LINEAL;6,72;CÁLCULO DE VARIAS VARIABLES;6,74;COMUNICACIÓN II;8,25;DEPORTE: BALONCESTO;10,00;FÍSICA I;6,60;FUNDAMENTOS DE PROGRAMACIÓN;9,28;;
9;201708542;M;7,45;0,346;138;16,36;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,25;CÁLCULO DE UNA VARIABLE;5,68;COMUNICACIÓN I;7,60;QUÍMICA GENERAL;7,66;;;;;;;ÁLGEBRA LINEAL;7,04 ;BIOLOGÍA;7,00 ;CÁLCULO DE UNA VARIABLE;8,2;COMUNICACIÓN II;7,9;;;;;;
10;201709151;M;7,43;0,332;132;18,52;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,85;CÁLCULO DE UNA VARIABLE;5,00;COMUNICACIÓN I;7,10;QUÍMICA GENERAL;7,87;;;;;;;ÁLGEBRA LINEAL;6,24;BIOLOGÍA;7,91;CÁLCULO DE UNA VARIABLE;8,60;COMUNICACIÓN II;8,20;FUNDAMENTOS DE PROGRAMACIÓN;7,48;;;;
11;201414621;M;7,12;1,100;86;40,28;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;4,80;COMUNICACIÓN II;7,00;ESTUDIO DE CASOS DE CIENCIAS SOCIALES;8,12;FUNDAMENTOS DE MERCADEO;7,20;FUNDAMENTOS DE PROGRAMACIÓN;0,94;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,45;DIBUJO ARTÍSTICO;8,95;ESTADÍSTICA INFERENCIAL;7,60;FUNDAMENTOS DE PROGRAMACIÓN;7,36;;;;;;
12;201714177;M;8,03;0,816;103;28,47;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;6,40;CÁLCULO DE UNA VARIABLE;4,14;COMUNICACIÓN I;7,95;DEPORTE: NATACIÓN;9,60;ESTUDIO DE CASOS DE CIENCIAS SOCIALES;7,87;;;;;CÁLCULO DE UNA VARIABLE;7,68;COMUNICACIÓN II;8,00;DEPORTE: FÚTBOL;8,90;FUNDAMENTOS DE ADMINISTRACIÓN;8,30;FUNDAMENTOS DE PROGRAMACIÓN;3,96;INTRODUCCIÓN A LA ECONOMÍA;7,15;;
13;201700127;F;8,03;0,816;103;28,47;CÁLCULO DE UNA VARIABLE;6,22;CONTABILIDAD I;7,15;EXPRESIÓN CORPORAL;10,00;FUNDAMENTOS DE ADMINISTRACIÓN;7,35;FUNDAMENTOS DE PROGRAMACIÓN;2,32;INTRODUCCIÓN A LA ECONOMÍA;8,25;;;BIOLOGÍA;8,73;COMUNICACIÓN II;6,85;DEPORTE: NATACIÓN;10,00;DERECHO SOCIETARIO Y LABORAL;8,25;FUNDAMENTOS DE AUDITORÍA;9,18;FUNDAMENTOS DE PROGRAMACIÓN;8,62;;
14;201607876;M;8,04;0,644;95;40,25;ÁLGEBRA LINEAL;7,96;CÁLCULO DE VARIAS VARIABLES;8,04;COMUNICACIÓN II;8,30;DEPORTE: ENTRENAMIENTOS DE FUERZA;10,00;FÍSICA I;7,26;INTRODUCCIÓN A LA INGENIERÍA CIVIL;9,20;;;DIBUJO TÉCNICO Y PLANOS;9,46;ECUACIONES DIFERENCIALES;7,90;ESTADÍSTICA;7,56;FÍSICA II;7,12;FUNDAMENTOS DE PROGRAMACIÓN;7,40;INTRODUCCIÓN A LA INGENIERÍA DE MINAS;7,55;;
15;201712411;F;8,05;0,659;132;20;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,90;BIOLOGÍA;8,18;CÁLCULO DE UNA VARIABLE;4,14;COMUNICACIÓN I;8,45;QUÍMICA GENERAL;6,52;;;;;ÁLGEBRA LINEAL;6,22;CÁLCULO DE UNA VARIABLE;7,46;COMUNICACIÓN II;7,90;FUNDAMENTOS DE PROGRAMACIÓN;8,36;INTRODUCCIÓN A LA GESTIÓN AMBIENTAL;8,55;;;;
16;201612819;M;7,1;0,500;122;24,69;;;;;;;;;;;;;;;CÁLCULO DE VARIAS VARIABLES;6,28;DEPORTE: NATACIÓN;9,70;FÍSICA I;6,08;FUNDAMENTOS DE PROGRAMACIÓN;4,60;INGLÉS III;7,51;;;;
17;201706785;F;8,22;0,980;107;34,36;ÁLGEBRA LINEAL;8,58;BIOLOGÍA;9,02;CÁLCULO DE VARIAS VARIABLES;7,14;COMUNICACIÓN II;8,65;FÍSICA I;7,36;;;;;ECUACIONES DIFERENCIALES;7,04;ESTADÍSTICA DESCRIPTIVA;7,68;FÍSICA II;7,02;FUNDAMENTOS DE PROGRAMACIÓN;9,70;INTRODUCCIÓN A LA ECONOMÍA;9,10;INTRODUCCIÓN A LA INGENIERÍA INDUSTRIAL;8,65;;
18;201704160;F;8,24;1,147;117;28,22;ÁLGEBRA LINEAL;6,18;CÁLCULO DE VARIAS VARIABLES;7,66;COMUNICACIÓN II;8,70;FÍSICA I;7,70;INGLÉS II;9,62;;;;;BIOLOGÍA;8,58;CHINO-MANDARÍN BÁSICO A;9,55;DIBUJO PARA INGENIERÍA;7,67;ECUACIONES DIFERENCIALES;6,58;FÍSICA II;6,90;FUNDAMENTOS DE PROGRAMACIÓN;9,32;INGLÉS III;9,71
19;201710274;F;7,66;2,133;128;19,5;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,65;CÁLCULO DE UNA VARIABLE;6,02;COMUNICACIÓN I;6,35;INGLÉS I;8,75;QUÍMICA GENERAL;7,02;;;;;ÁLGEBRA LINEAL;5,94;CÁLCULO DE VARIAS VARIABLES;6,48;COMUNICACIÓN II;8,10;DEPORTE: NATACIÓN;10,00;FÍSICA I;7,46;FUNDAMENTOS DE PROGRAMACIÓN;9,38;;
20;201710464;M;7,51;0,520;126;22,22;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,00;CÁLCULO DE UNA VARIABLE;4,78;COMUNICACIÓN I;6,95;INGLÉS V;8,56;QUÍMICA GENERAL;6,32;;;;;ÁLGEBRA LINEAL;6,08;BIOLOGÍA;6,80;CÁLCULO DE UNA VARIABLE;8,38;COMUNICACIÓN II;8,75;FUNDAMENTOS DE PROGRAMACIÓN;6,82;;;;
21;201714490;M;7,44;0,414;135;18,18;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,90;CÁLCULO DE UNA VARIABLE;5,16;COMUNICACIÓN I;7,20;QUÍMICA GENERAL;7,30;;;;;;;ÁLGEBRA LINEAL;6,28;BIOLOGÍA;7,57;CÁLCULO DE UNA VARIABLE;7,96;COMUNICACIÓN II;8,25;FUNDAMENTOS DE PROGRAMACIÓN;8,42;;;;
22;201710969;M;7,66;0,906;125;23,31;ÁLGEBRA LINEAL;6,32;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,05;CÁLCULO DE UNA VARIABLE;6,16;COMUNICACIÓN I;8,25;QUÍMICA GENERAL;6,98;;;;;BIOLOGÍA;8,56;CÁLCULO DE VARIAS VARIABLES;7,72;COMUNICACIÓN II;7,70;DEPORTE: BALONCESTO;10,00;FÍSICA I;6,80;FUNDAMENTOS DE PROGRAMACIÓN;9,20;;
23;201609690;M;7,34;0,681;113;29,49;CÁLCULO DE VARIAS VARIABLES;6,02;COMUNICACIÓN II;7,90;FÍSICA I;6,58;INTRODUCCIÓN A LA INGENIERÍA QUÍMICA;6,75;QUÍMICA ORGÁNICA I;6,03;;;;;ESTADÍSTICA DESCRIPTIVA;6,60;FÍSICA II;6,76;FUNDAMENTOS DE PROGRAMACIÓN;7,58;INGLÉS II;6,91;;;;;;
24;201709011;M;7,69;0,523;131;17,61;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,00;CÁLCULO DE UNA VARIABLE;6,22;COMUNICACIÓN I;6,95;QUÍMICA GENERAL;6,95;;;;;;;ÁLGEBRA LINEAL;5,50;BIOLOGÍA;8,52;CÁLCULO DE VARIAS VARIABLES;5,40;COMUNICACIÓN II;8,50;FUNDAMENTOS DE PROGRAMACIÓN;4,50;;;;
25;200914109;M;7,27;999999,000;103;28,47;;;;;;;;;;;;;;;ÁLGEBRA LINEAL;6,22;CÁLCULO DE VARIAS VARIABLES;7,14;FUNDAMENTOS DE PROGRAMACIÓN;7,46;INGLÉS II;8,13;INTRODUCCIÓN A LA ECONOMÍA;6,55;;;;
26;201706116;M;7,33;0,946;122;23,75;ÁLGEBRA LINEAL;6,56;CÁLCULO DE VARIAS VARIABLES;6,30;COMUNICACIÓN II;7,70;DEPORTE: PING PONG;9,65;FÍSICA I;7,24;INGLÉS I;7,88;;;BIOLOGÍA;7,47;ECUACIONES DIFERENCIALES;6,16;FÍSICA II;6,10;FUNDAMENTOS DE PROGRAMACIÓN;3,04;INGLÉS II;8,12;;;;
27;201714102;M;7,62;0,407;124;22,98;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,00;CÁLCULO DE UNA VARIABLE;7,30;COMUNICACIÓN I;7,85;QUÍMICA GENERAL;6,97;;;;;;;ÁLGEBRA LINEAL;7,92;BIOLOGÍA;8,21;CÁLCULO DE VARIAS VARIABLES;7,94;FÍSICA I;7,70;FUNDAMENTOS DE PROGRAMACIÓN;8,64;;;;
28;201712593;F;8,54;0,313;131;20,61;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,65;CÁLCULO DE UNA VARIABLE;4,90;COMUNICACIÓN I;7,45;DANZA;9,70;QUÍMICA GENERAL;6,82;;;;;ÁLGEBRA LINEAL;5,26;BIOLOGÍA;8,20;CÁLCULO DE UNA VARIABLE;5,54;COMUNICACIÓN II;7,75;DIBUJO TÉCNICO Y PLANOS;10,00;EDUCACIÓN SOCIOEMOCIONAL;9,95;FUNDAMENTOS DE PROGRAMACIÓN;7,00
29;201706363;M;7,85;0,877;123;24,54;ÁLGEBRA LINEAL;6,48;BIOLOGÍA;7,90;CÁLCULO DE VARIAS VARIABLES;6,54;COMUNICACIÓN II;8,55;FÍSICA I;6,98;;;;;DEPORTE: BALONCESTO;10,00;DIBUJO PARA INGENIERÍA;8,72;ECUACIONES DIFERENCIALES;6,68;FÍSICA II;7,34;FUNDAMENTOS DE PROGRAMACIÓN;10,00;INGLÉS I;8,58;;
30;201703816;M;7,76;0,295;126;21,74;ÁLGEBRA LINEAL;5,70;CÁLCULO DE VARIAS VARIABLES;6,84;COMUNICACIÓN II;9,10;DEPORTE: BALONCESTO;10,00;INGLÉS I;8,71;;;;;ÁLGEBRA LINEAL;6,92;BIOLOGÍA;7,90;FÍSICA I;6,88;FUNDAMENTOS DE PROGRAMACIÓN;7,32;INGLÉS II;6,86;;;;
31;201709268;M;7,33;0,816;137;13,84;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,00;CÁLCULO DE UNA VARIABLE;5,10;COMUNICACIÓN I;6,85;QUÍMICA GENERAL;6,36;;;;;;;BIOLOGÍA;8,27;CÁLCULO DE UNA VARIABLE;7,00;COMUNICACIÓN II;8,00;FUNDAMENTOS DE PROGRAMACIÓN;3,18;INGLÉS II;7,68;;;;
32;201413926;M;9,41;0,774;107;32,7;ÁLGEBRA LINEAL;8,72;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,50;BIOLOGÍA;9,75;CÁLCULO DE UNA VARIABLE;9,86;INGLÉS V;9,77;;;;;CÁLCULO DE VARIAS VARIABLES;9,80;DEPORTE: PING PONG;10,00;ECUACIONES DIFERENCIALES;9,56;FUNDAMENTOS DE PROGRAMACIÓN;9,96;INTRODUCCIÓN A LA GESTIÓN AMBIENTAL;9,00;;;;
33;201711199;M;7,49;0,525;135;16,15;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,85;BIOLOGÍA;6,50;CÁLCULO DE UNA VARIABLE;6,02;COMUNICACIÓN I;7,50;DEPORTE: FÚTBOL;9,55;QUÍMICA GENERAL;6,46;;;ÁLGEBRA LINEAL;4,94;CÁLCULO DE VARIAS VARIABLES;6,86;COMUNICACIÓN II;7,35;DEPORTE: NATACIÓN;9,80;FÍSICA I;5,70;FUNDAMENTOS DE PROGRAMACIÓN;7,04;;
34;201808409;F;8,35;1,034;118;18,06;;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,40;COMUNICACIÓN I;8,00;ESTUDIO DE CASOS DE CIENCIAS SOCIALES;9,00;FUNDAMENTOS DE PROGRAMACIÓN;8,28;;;;;;
35;201713062;F;7,74;0,297;136;16,56;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,50;CÁLCULO DE UNA VARIABLE;4,88;COMUNICACIÓN I;7,10;INGLÉS I;8,71;QUÍMICA GENERAL;7,33;;;;;ÁLGEBRA LINEAL;6,56;BIOLOGÍA;8,02;CÁLCULO DE UNA VARIABLE;6,68;COMUNICACIÓN II;8,15;FUNDAMENTOS DE PROGRAMACIÓN;9,10;INGLÉS II;8,21;;
36;201713724;M;8,31;0,322;146;9,32;;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,80;CÁLCULO DE UNA VARIABLE;8,08;COMUNICACIÓN I;7,35;INGLÉS I;9,22;QUÍMICA GENERAL;7,12;;;;
37;201713633;M;8,39;1,968;119;26,09;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,80;CÁLCULO DE UNA VARIABLE;8,10;COMUNICACIÓN I;6,65;INGLÉS V;8,45;QUÍMICA GENERAL;7,93;;;;;ÁLGEBRA LINEAL;8,64;BIOLOGÍA;7,81;CÁLCULO DE VARIAS VARIABLES;8,50;COMUNICACIÓN II;8,75;FÍSICA I;8,00;FUNDAMENTOS DE PROGRAMACIÓN;9,92;;
38;201607439;F;7,98;0,906;74;48,61;DEPORTE: TENIS;10,00;ECONOMÍA MATEMÁTICA;7,52;MACROECONOMÍA I;8,70;MICROECONOMÍA I;7,10;;;;;;;BIOLOGÍA;8,46;ESTADÍSTICA DESCRIPTIVA;7,06;FUNDAMENTOS DE PROGRAMACIÓN;8,72;MACROECONOMÍA II;7,25;MATEMÁTICAS FINANCIERAS;7,12;MICROECONOMÍA II;8,35;;
39;201714862;M;7,68;0,519;140;15,15;ÁLGEBRA LINEAL;7,58;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;6,90;CÁLCULO DE UNA VARIABLE;6,62;COMUNICACIÓN I;7,05;;;;;;;CÁLCULO DE VARIAS VARIABLES;8,84;DEPORTE: ENTRENAMIENTOS DE FUERZA;9,70;FÍSICA I;7,74;FUNDAMENTOS DE PROGRAMACIÓN;8,70;;;;;;
40;201612504;M;7,33;0,434;121;26,67;ÁLGEBRA LINEAL;4,70;CÁLCULO DE VARIAS VARIABLES;6,52;DEPORTE: VOLEIBOL;10,00;FÍSICA I;7,68;INGLÉS III;8,87;;;;;ÁLGEBRA LINEAL;6,08;COMUNICACIÓN II;6,15;FÍSICA II;3,32;FUNDAMENTOS DE PROGRAMACIÓN;6,26;INGLÉS V;7,62;;;;
41;201710068;M;7,95;0,287;122;23,75;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,10;BIOLOGÍA;9,65;CÁLCULO DE UNA VARIABLE;6,28;COMUNICACIÓN I;7,15;QUÍMICA GENERAL;7,83;;;;;ÁLGEBRA LINEAL;6,54;CÁLCULO DE VARIAS VARIABLES;6,90;COMUNICACIÓN II;7,95;DEPORTE: NATACIÓN;10,00;FUNDAMENTOS DE PROGRAMACIÓN;8,74;;;;
42;201501625;M;7,38;2,527;74;48,61;;;;;;;;;;;;;;;DEPORTE: NATACIÓN;10,00;FUNDAMENTOS DE PROGRAMACIÓN;0,54;TEORÍA DEL ARTE;0,00;;;;;;;;
43;201501635;M;7,5; ;44;69,44;ECONOMETRÍA I;6,10;FINANZAS II;6,25;FUNDAMENTOS DE PROGRAMACIÓN;5,08;MACROECONOMÍA II;8,00;MICROECONOMÍA III;7,70;;;;;ECONOMETRÍA II;6,06;FUNDAMENTOS DE PROGRAMACIÓN;7,86;GESTIÓN TRIBUTARIA;7,03;HISTORIA DE LAS CIENCIAS;8,55;MACROECONOMÍA III;7,25;;;;
44;201712924;M;8,34;2,514;135;16,67;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,45;CÁLCULO DE UNA VARIABLE;3,80;COMUNICACIÓN I;7,60;INGLÉS V;9,22;QUÍMICA GENERAL;5,88;;;;;ÁLGEBRA LINEAL;4,60;BIOLOGÍA;8,38;CÁLCULO DE UNA VARIABLE;5,62;COMUNICACIÓN II;7,75;DEPORTE: FÚTBOL;10,00;FUNDAMENTOS DE PROGRAMACIÓN;2,52;;
45;201611043;F;7,6;2,251;78;45,83;ÁLGEBRA LINEAL;6,46;CÁLCULO DE VARIAS VARIABLES;6,32;EDUCACIÓN SOCIOEMOCIONAL;9,75;MACROECONOMÍA I;8,10;MICROECONOMÍA I;6,45;;;;;ECONOMÍA MATEMÁTICA;6,71;ESTADÍSTICA DESCRIPTIVA;6,74;FUNDAMENTOS DE PROGRAMACIÓN;6,02;MICROECONOMÍA II;6,00;;;;;;
46;201714458;M;8,05;1,051;122;24,22;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,15;CÁLCULO DE UNA VARIABLE;6,64;COMUNICACIÓN I;8,70;QUÍMICA GENERAL;7,51;;;;;;;ÁLGEBRA LINEAL;6,00;COMUNICACIÓN II;7,80;DEPORTE: ENTRENAMIENTOS DE FUERZA;9,95;FÍSICA I;6,64;FUNDAMENTOS DE PROGRAMACIÓN;9,30;;;;
47;201512682;M;6,92;0,380;151;8,48;;;;;;;;;;;;;;;ÁLGEBRA LINEAL;0,36;CÁLCULO DE UNA VARIABLE;2,60;COMUNICACIÓN II;3,80;FUNDAMENTOS DE PROGRAMACIÓN;1,98;QUÍMICA GENERAL;3,17;;;;
48;201600236;F;7,28;1,336;73;49,31;ÁLGEBRA LINEAL;6,84;ESTADÍSTICA DESCRIPTIVA;6,14;MACROECONOMÍA I;8,30;MICROECONOMÍA I;6,05;;;;;;;ECONOMÍA MATEMÁTICA;6,23;ESTADÍSTICA INFERENCIAL;6,48;FUNDAMENTOS DE PROGRAMACIÓN;6,70;MICROECONOMÍA II;6,10;;;;;;
49;201710134;M;7,8;1,234;127;22,09;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,90;CÁLCULO DE UNA VARIABLE;5,38;COMUNICACIÓN I;7,70;QUÍMICA GENERAL;6,13;;;;;;;ÁLGEBRA LINEAL;5,46;BIOLOGÍA;7,18;CÁLCULO DE UNA VARIABLE;6,84;COMUNICACIÓN II;6,70;DEPORTE: BALONCESTO;10,00;FUNDAMENTOS DE PROGRAMACIÓN;6,22;;
50;201709383;M;7,66;1,332;127;22,09;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,50;CÁLCULO DE UNA VARIABLE;5,46;COMUNICACIÓN I;7,30;INGLÉS V;8,95;QUÍMICA GENERAL;6,67;;;;;ÁLGEBRA LINEAL;5,52;BIOLOGÍA;8,41;CÁLCULO DE UNA VARIABLE;6,46;COMUNICACIÓN II;7,60;DEPORTE: FÚTBOL;10,00;FUNDAMENTOS DE PROGRAMACIÓN;7,90;;
51;201710399;F;7,87;0,627;126;21,15;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,10;CÁLCULO DE UNA VARIABLE;3,84;COMUNICACIÓN I;7,80;PINTURA;9,50;QUÍMICA GENERAL;6,98;;;;;BIOLOGÍA;8,87;CÁLCULO DE UNA VARIABLE;6,64;COMUNICACIÓN II;8,30;FUNDAMENTOS DE PROGRAMACIÓN;6,96;INGLÉS IV;8,83;;;;
52;201613106;M;7,08;0,715;116;27,56;ÁLGEBRA LINEAL;6,52;CÁLCULO DE VARIAS VARIABLES;6,56;FÍSICA I;6,10;FUNDAMENTOS DE PROGRAMACIÓN;2,90;INGLÉS II;8,41;QUÍMICA INORGÁNICA;7,68;;;ECUACIONES DIFERENCIALES;3,06;ESTADÍSTICA DESCRIPTIVA;5,36;FÍSICA II;5,74;FUNDAMENTOS DE PROGRAMACIÓN;6,60;INGLÉS III;7,53;;;;
53;201702420;M;7,53;0,551;112;29,56;ÁLGEBRA LINEAL;7,66;CÁLCULO DE VARIAS VARIABLES;6,36;COMUNICACIÓN II;6,35;FUNDAMENTOS DE PROGRAMACIÓN;5,72;MATEMÁTICAS DISCRETAS;7,78;;;;;BIOLOGÍA;8,47;ECUACIONES DIFERENCIALES;6,20;FÍSICA I;7,16;FUNDAMENTOS DE PROGRAMACIÓN;8,98;;;;;;
54;201705423;M;6,59;0,388;138;13,46;ÁLGEBRA LINEAL;3,30;CÁLCULO DE UNA VARIABLE;6,04;INTRODUCCIÓN A LA INGENIERÍA QUÍMICA;2,60;QUÍMICA ANALÍTICA;0,34;QUÍMICA ORGÁNICA I;0,37;;;;;BIOLOGÍA;6,66;CÁLCULO DE VARIAS VARIABLES;6,16;COMUNICACIÓN II;6,95;FOTOGRAFÍA;7,20;FUNDAMENTOS DE PROGRAMACIÓN;0,28;;;;
55;201804192;F;7,52;0,689;145;9,38;;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,25;CÁLCULO DE UNA VARIABLE;5,80;COMUNICACIÓN I;6,75;FUNDAMENTOS DE PROGRAMACIÓN;4,82;QUÍMICA GENERAL;7,36;;;;
56;201612546;M;7,39;0,773;116;27,5;ÁLGEBRA LINEAL;2,30;COMUNICACIÓN II;6,55;DEPORTE: ENTRENAMIENTOS DE FUERZA;9,80;FÍSICA II;6,32;FUNDAMENTOS DE PROGRAMACIÓN;1,00;;;;;ÁLGEBRA LINEAL;6,14;DESARROLLO SOCIAL Y VOLUNTARIADO;9,30;FUNDAMENTOS DE PROGRAMACIÓN;6,54;INGLÉS I;7,88;INTRODUCCIÓN A LA GESTIÓN AMBIENTAL;7,30;INTRODUCCIÓN A LA INDUSTRIA HIDROCARBURÍFERA;6,15;;
57;201614492;F;7,7;0,302;126;21,25;ÁLGEBRA LINEAL;4,06;CÁLCULO DE VARIAS VARIABLES;4,46;FÍSICA I;2,98;FUNDAMENTOS DE PROGRAMACIÓN;3,48;INTRODUCCIÓN A LA GESTIÓN AMBIENTAL;8,30;INTRODUCCIÓN A LA INGENIERÍA EN GEOLOGÍA;9,95;;;ÁLGEBRA LINEAL;3,72;FUNDAMENTOS DE PROGRAMACIÓN;3,28;;;;;;;;;;
58;201127484;F;7,26;0,277;66;54,17;COMPORTAMIENTO DEL CONSUMIDOR;7,05;COMPORTAMIENTO ORGANIZACIONAL;8,15;CONTABILIDAD II;6,52;FINANZAS I;3,25;FUNDAMENTOS DE PROGRAMACIÓN;3,14;MICROECONOMÍA II;0,80;;;EMPRENDIMIENTO E INNOVACIÓN;9,36;ESTADÍSTICA INFERENCIAL;1,64;FINANZAS I;4,57;FUNDAMENTOS DE PROGRAMACIÓN;1,96;INNOVACIÓN Y LA ECONOMÍA DEL CONOCIMIENTO;6,80;MICROECONOMÍA II;1,90;;
59;201702669;F;7,31;0,344;121;24,38;ÁLGEBRA LINEAL;2,78;APRECIACIÓN CINEMATOGRÁFICA;9,20;BIOLOGÍA;9,11;CÁLCULO DE UNA VARIABLE;6,20;FUNDAMENTOS DE PROGRAMACIÓN;4,56;;;;;CÁLCULO DE VARIAS VARIABLES;6,60;COMUNICACIÓN II;7,95;FÍSICA I;3,54;FUNDAMENTOS DE PROGRAMACIÓN;7,18;;;;;;
60;201714441;M;6,55;1,079;150;7,41;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,10;CÁLCULO DE UNA VARIABLE;3,44;COMUNICACIÓN I;5,00;FUNDAMENTOS DE PROGRAMACIÓN;3,60;QUÍMICA GENERAL;5,83;;;;;CÁLCULO DE UNA VARIABLE;5,14;COMUNICACIÓN I;6,00;FUNDAMENTOS DE PROGRAMACIÓN;6,86;QUÍMICA GENERAL;6,25;;;;;;
